seed,corruption_kind,severity,metric,original_value,replay_value,abs_diff
41,dropout,0.05,delta_acc,0.04021333333333332,0.04021333333333332,0.0
41,dropout,0.05,class_js_divergence,0.0010020111565152878,0.0010020111565153382,5.0306980803327406e-17
41,dropout,0.05,confidence_drop,0.011122626960972992,0.011122626960972992,0.0
41,dropout,0.05,entropy_shift,0.030103074478416092,0.030103074478416092,0.0
41,dropout,0.1,delta_acc,0.09455333333333338,0.09455333333333338,0.0
41,dropout,0.1,class_js_divergence,0.004826028702522808,0.004826028702522808,0.0
41,dropout,0.1,confidence_drop,0.02634687561541804,0.02634687561541804,0.0
41,dropout,0.1,entropy_shift,0.07014200366303591,0.07014200366303591,0.0
41,eta_phi_jitter,0.02,delta_acc,0.02176,0.02176,0.0
41,eta_phi_jitter,0.02,class_js_divergence,0.0023676660156765656,0.002367666015676586,2.0383000842727483e-17
41,eta_phi_jitter,0.02,confidence_drop,0.011024156878093883,0.011024156878093883,0.0
41,eta_phi_jitter,0.02,entropy_shift,0.03340191345068044,0.03340191345068044,0.0
41,eta_phi_jitter,0.05,delta_acc,0.23268,0.23268,0.0
41,eta_phi_jitter,0.05,class_js_divergence,0.07238881250924993,0.07238881250925001,8.326672684688674e-17
41,eta_phi_jitter,0.05,confidence_drop,0.003915877665181977,0.003915877665181977,0.0
41,eta_phi_jitter,0.05,entropy_shift,0.0304118180734535,0.0304118180734535,0.0
41,global_scale,0.03,delta_acc,0.0033733333333333393,0.0033733333333333393,0.0
41,global_scale,0.03,class_js_divergence,6.596893849085015e-07,6.596893849085015e-07,0.0
41,global_scale,0.03,confidence_drop,0.0009378690819938917,0.0009378690819938917,0.0
41,global_scale,0.03,entropy_shift,0.0026473641041521168,0.0026473641041521168,0.0
41,merge,0.1,delta_acc,0.019179999999999975,0.019179999999999975,0.0
41,merge,0.1,class_js_divergence,0.0007988073636864856,0.0007988073636865301,4.456070928915423e-17
41,merge,0.1,confidence_drop,0.004386785050034536,0.004386785050034536,0.0
41,merge,0.1,entropy_shift,0.01253027059206202,0.01253027059206202,0.0
41,merge,0.2,delta_acc,0.047640000000000016,0.047640000000000016,0.0
41,merge,0.2,class_js_divergence,0.0034824925529367426,0.003482492552936764,2.1250362580715887e-17
41,merge,0.2,confidence_drop,0.010263157669901823,0.010263157669901823,0.0
41,merge,0.2,entropy_shift,0.02819625039551754,0.02819625039551754,0.0
41,pt_noise,0.03,delta_acc,0.0006533333333332836,0.0006533333333332836,0.0
41,pt_noise,0.03,class_js_divergence,8.804473192701953e-09,8.804473192701953e-09,0.0
41,pt_noise,0.03,confidence_drop,7.206384261448928e-05,7.206384261448928e-05,0.0
41,pt_noise,0.03,entropy_shift,0.00017839333136115965,0.00017839333136115965,0.0
41,pt_noise,0.06,delta_acc,0.0019066666666667231,0.0019066666666667231,0.0
41,pt_noise,0.06,class_js_divergence,1.6015447637298947e-07,1.6015447637298947e-07,0.0
41,pt_noise,0.06,confidence_drop,0.000558421551684618,0.000558421551684618,0.0
41,pt_noise,0.06,entropy_shift,0.0013645336795400365,0.0013645336795400365,0.0
52,dropout,0.05,delta_acc,0.04143333333333332,0.04143333333333332,0.0
52,dropout,0.05,class_js_divergence,0.0010152995067621213,0.0010152995067620098,1.1145598333150986e-16
52,dropout,0.05,confidence_drop,0.010067991686165345,0.010067991686165345,0.0
52,dropout,0.05,entropy_shift,0.027039347980683193,0.027039347980683193,0.0
52,dropout,0.1,delta_acc,0.09724666666666659,0.09724666666666659,0.0
52,dropout,0.1,class_js_divergence,0.004830072376255642,0.004830072376255562,7.979727989493313e-17
52,dropout,0.1,confidence_drop,0.024355493632256975,0.024355493632256975,0.0
52,dropout,0.1,entropy_shift,0.06510633926241094,0.06510633926241094,0.0
52,eta_phi_jitter,0.02,delta_acc,0.02393999999999996,0.02393999999999996,0.0
52,eta_phi_jitter,0.02,class_js_divergence,0.002340709513138915,0.0023407095131389045,1.0408340855860843e-17
52,eta_phi_jitter,0.02,confidence_drop,0.011528688963055589,0.011528688963055589,0.0
52,eta_phi_jitter,0.02,entropy_shift,0.03384256717619205,0.03384256717619205,0.0
52,eta_phi_jitter,0.05,delta_acc,0.23768,0.23768,0.0
52,eta_phi_jitter,0.05,class_js_divergence,0.07119133279623308,0.07119133279623316,8.326672684688674e-17
52,eta_phi_jitter,0.05,confidence_drop,0.008737742586632513,0.008737742586632513,0.0
52,eta_phi_jitter,0.05,entropy_shift,0.044277674216192775,0.044277674216192775,0.0
52,global_scale,0.03,delta_acc,0.002946666666666653,0.002946666666666653,0.0
52,global_scale,0.03,class_js_divergence,6.616444721079087e-07,6.616444721321813e-07,2.427257613651923e-17
52,global_scale,0.03,confidence_drop,0.0010233080876866918,0.0010233080876866918,0.0
52,global_scale,0.03,entropy_shift,0.0029699450230334934,0.0029699450230334934,0.0
52,merge,0.1,delta_acc,0.01958666666666664,0.01958666666666664,0.0
52,merge,0.1,class_js_divergence,0.0008220358994979276,0.0008220358994979477,2.0166160408230382e-17
52,merge,0.1,confidence_drop,0.0039729464138547055,0.0039729464138547055,0.0
52,merge,0.1,entropy_shift,0.011577842918486403,0.011577842918486403,0.0
52,merge,0.2,delta_acc,0.04900666666666664,0.04900666666666664,0.0
52,merge,0.2,class_js_divergence,0.0034264071232038024,0.0034264071232037742,2.8189256484623115e-17
52,merge,0.2,confidence_drop,0.010177105857928637,0.010177105857928637,0.0
52,merge,0.2,entropy_shift,0.02724287639951395,0.02724287639951395,0.0
52,pt_noise,0.03,delta_acc,0.0003666666666666263,0.0003666666666666263,0.0
52,pt_noise,0.03,class_js_divergence,1.5774128858867778e-08,1.577412882718197e-08,3.168580849088887e-17
52,pt_noise,0.03,confidence_drop,0.0001299184597531866,0.0001299184597531866,0.0
52,pt_noise,0.03,entropy_shift,0.0003234426233378329,0.0003234426233378329,0.0
52,pt_noise,0.06,delta_acc,0.0017399999999999638,0.0017399999999999638,0.0
52,pt_noise,0.06,class_js_divergence,1.694727222536497e-07,1.6947272223524537e-07,1.8404331877941438e-17
52,pt_noise,0.06,confidence_drop,0.000584803603092876,0.000584803603092876,0.0
52,pt_noise,0.06,entropy_shift,0.0014540691558335705,0.0014540691558335705,0.0
63,dropout,0.05,delta_acc,0.041093333333333315,0.041093333333333315,0.0
63,dropout,0.05,class_js_divergence,0.0009505935439115482,0.0009505935439115482,0.0
63,dropout,0.05,confidence_drop,0.01111884276350339,0.01111884276350339,0.0
63,dropout,0.05,entropy_shift,0.030971754451563083,0.030971754451563083,0.0
63,dropout,0.1,delta_acc,0.09800666666666669,0.09800666666666669,0.0
63,dropout,0.1,class_js_divergence,0.0045147675046901415,0.0045147675046901415,0.0
63,dropout,0.1,confidence_drop,0.025944461203316838,0.025944461203316838,0.0
63,dropout,0.1,entropy_shift,0.07082471652426436,0.07082471652426436,0.0
63,eta_phi_jitter,0.02,delta_acc,0.022453333333333325,0.022453333333333325,0.0
63,eta_phi_jitter,0.02,class_js_divergence,0.0021677142593483053,0.0021677142593483053,0.0
63,eta_phi_jitter,0.02,confidence_drop,0.012520339954793513,0.012520339954793513,0.0
63,eta_phi_jitter,0.02,entropy_shift,0.035824797212788084,0.035824797212788084,0.0
63,eta_phi_jitter,0.05,delta_acc,0.22758,0.22758,0.0
63,eta_phi_jitter,0.05,class_js_divergence,0.0637907961014457,0.0637907961014457,0.0
63,eta_phi_jitter,0.05,confidence_drop,0.01988131771375734,0.01988131771375734,0.0
63,eta_phi_jitter,0.05,entropy_shift,0.06944050619487252,0.06944050619487252,0.0
63,global_scale,0.03,delta_acc,0.0037933333333333152,0.0037933333333333152,0.0
63,global_scale,0.03,class_js_divergence,4.869540638307543e-07,4.869540638307543e-07,0.0
63,global_scale,0.03,confidence_drop,0.0008027970671653506,0.0008027970671653506,0.0
63,global_scale,0.03,entropy_shift,0.0025786089051974548,0.0025786089051974548,0.0
63,merge,0.1,delta_acc,0.020486666666666653,0.020486666666666653,0.0
63,merge,0.1,class_js_divergence,0.0007418374165680383,0.0007418374165679459,9.237402509576498e-17
63,merge,0.1,confidence_drop,0.006862284824252107,0.006862284824252107,0.0
63,merge,0.1,entropy_shift,0.019378908974964082,0.019378908974964082,0.0
63,merge,0.2,delta_acc,0.047713333333333385,0.047713333333333385,0.0
63,merge,0.2,class_js_divergence,0.0031450040251260396,0.0031450040251260396,0.0
63,merge,0.2,confidence_drop,0.014921757205426656,0.014921757205426656,0.0
63,merge,0.2,entropy_shift,0.04110078282329588,0.04110078282329588,0.0
63,pt_noise,0.03,delta_acc,0.000160000000000049,0.000160000000000049,0.0
63,pt_noise,0.03,class_js_divergence,8.549107112691325e-09,8.549107112691325e-09,0.0
63,pt_noise,0.03,confidence_drop,9.71135062972639e-05,9.71135062972639e-05,0.0
63,pt_noise,0.03,entropy_shift,0.00025399585277807724,0.00025399585277807724,0.0
63,pt_noise,0.06,delta_acc,0.0013333333333334085,0.0013333333333334085,0.0
63,pt_noise,0.06,class_js_divergence,1.0067262625234823e-07,1.0067262620937824e-07,4.2969981414210656e-17
63,pt_noise,0.06,confidence_drop,0.0004960840309660153,0.0004960840309660153,0.0
63,pt_noise,0.06,entropy_shift,0.0012676013877824799,0.0012676013877824799,0.0
74,dropout,0.05,delta_acc,0.04073333333333329,0.04073333333333329,0.0
74,dropout,0.05,class_js_divergence,0.000986311143408484,0.000986311143408624,1.4007892068512717e-16
74,dropout,0.05,confidence_drop,0.011056712047159745,0.011056712047159745,0.0
74,dropout,0.05,entropy_shift,0.030298470474132366,0.030298470474132366,0.0
74,dropout,0.1,delta_acc,0.09704000000000002,0.09704000000000002,0.0
74,dropout,0.1,class_js_divergence,0.004698664295323527,0.004698664295323465,6.158268339717665e-17
74,dropout,0.1,confidence_drop,0.027135869448880356,0.027135869448880356,0.0
74,dropout,0.1,entropy_shift,0.07197336742320315,0.07197336742320315,0.0
74,eta_phi_jitter,0.02,delta_acc,0.021586666666666643,0.021586666666666643,0.0
74,eta_phi_jitter,0.02,class_js_divergence,0.002217771538080007,0.0022177715380799928,1.431146867680866e-17
74,eta_phi_jitter,0.02,confidence_drop,0.010698503975371532,0.010698503975371532,0.0
74,eta_phi_jitter,0.02,entropy_shift,0.03219072128993161,0.03219072128993161,0.0
74,eta_phi_jitter,0.05,delta_acc,0.22553999999999996,0.22553999999999996,0.0
74,eta_phi_jitter,0.05,class_js_divergence,0.06564695259802386,0.06564695259802386,0.0
74,eta_phi_jitter,0.05,confidence_drop,0.013629246988892563,0.013629246988892563,0.0
74,eta_phi_jitter,0.05,entropy_shift,0.05420447847946219,0.05420447847946219,0.0
74,global_scale,0.03,delta_acc,0.003486666666666638,0.003486666666666638,0.0
74,global_scale,0.03,class_js_divergence,6.236075731163134e-07,6.236075731900256e-07,7.371219520185823e-17
74,global_scale,0.03,confidence_drop,0.0010573087143898041,0.0010573087143898041,0.0
74,global_scale,0.03,entropy_shift,0.002799520627240093,0.002799520627240093,0.0
74,merge,0.1,delta_acc,0.020580000000000043,0.020580000000000043,0.0
74,merge,0.1,class_js_divergence,0.0006924657979630609,0.0006924657979630853,2.439454888092385e-17
74,merge,0.1,confidence_drop,0.004643931270440493,0.004643931270440493,0.0
74,merge,0.1,entropy_shift,0.013236130514697408,0.013236130514697408,0.0
74,merge,0.2,delta_acc,0.04693333333333338,0.04693333333333338,0.0
74,merge,0.2,class_js_divergence,0.0028845544024397587,0.0028845544024398055,4.683753385137379e-17
74,merge,0.2,confidence_drop,0.010434852787355675,0.010434852787355675,0.0
74,merge,0.2,entropy_shift,0.02901256548569542,0.02901256548569542,0.0
74,pt_noise,0.03,delta_acc,0.0005466666666666953,0.0005466666666666953,0.0
74,pt_noise,0.03,class_js_divergence,1.671774669707591e-08,1.671774662881522e-08,6.826069115332956e-17
74,pt_noise,0.03,confidence_drop,0.000151932727793902,0.000151932727793902,0.0
74,pt_noise,0.03,entropy_shift,0.0003771331865255467,0.0003771331865255467,0.0
74,pt_noise,0.06,delta_acc,0.0014666666666667272,0.0014666666666667272,0.0
74,pt_noise,0.06,class_js_divergence,1.333646914103377e-07,1.33364691357266e-07,5.307169634316544e-17
74,pt_noise,0.06,confidence_drop,0.000304518363277162,0.000304518363277162,0.0
74,pt_noise,0.06,entropy_shift,0.0010086041641724774,0.0010086041641724774,0.0
85,dropout,0.05,delta_acc,0.04252666666666671,0.04252666666666671,0.0
85,dropout,0.05,class_js_divergence,0.0010456714600958574,0.0010456714600958574,0.0
85,dropout,0.05,confidence_drop,0.010411308853328305,0.010411308853328305,0.0
85,dropout,0.05,entropy_shift,0.02877795624692936,0.02877795624692936,0.0
85,dropout,0.1,delta_acc,0.10161333333333333,0.10161333333333333,0.0
85,dropout,0.1,class_js_divergence,0.005081186371130913,0.005081186371130847,6.591949208711867e-17
85,dropout,0.1,confidence_drop,0.024823313295344596,0.024823313295344596,0.0
85,dropout,0.1,entropy_shift,0.06808836904447868,0.06808836904447868,0.0
85,eta_phi_jitter,0.02,delta_acc,0.029340000000000033,0.029340000000000033,0.0
85,eta_phi_jitter,0.02,class_js_divergence,0.0031006094464952477,0.0031006094464953457,9.80118763926896e-17
85,eta_phi_jitter,0.02,confidence_drop,0.011574211744765472,0.011574211744765472,0.0
85,eta_phi_jitter,0.02,entropy_shift,0.033715240045706585,0.033715240045706585,0.0
85,eta_phi_jitter,0.05,delta_acc,0.25161333333333336,0.25161333333333336,0.0
85,eta_phi_jitter,0.05,class_js_divergence,0.07935790746262839,0.07935790746262839,0.0
85,eta_phi_jitter,0.05,confidence_drop,0.0009990396737059593,0.0009990396737059593,0.0
85,eta_phi_jitter,0.05,entropy_shift,0.024933792522845444,0.024933792522845444,0.0
85,global_scale,0.03,delta_acc,0.0033733333333333393,0.0033733333333333393,0.0
85,global_scale,0.03,class_js_divergence,6.372154860891918e-07,6.372154860891918e-07,0.0
85,global_scale,0.03,confidence_drop,0.0011177448560794057,0.0011177448560794057,0.0
85,global_scale,0.03,entropy_shift,0.002889102664799248,0.002889102664799248,0.0
85,merge,0.1,delta_acc,0.023453333333333326,0.023453333333333326,0.0
85,merge,0.1,class_js_divergence,0.0008383155377678214,0.0008383155377678214,0.0
85,merge,0.1,confidence_drop,0.004722624196906944,0.004722624196906944,0.0
85,merge,0.1,entropy_shift,0.013305358577079818,0.013305358577079818,0.0
85,merge,0.2,delta_acc,0.05385333333333342,0.05385333333333342,0.0
85,merge,0.2,class_js_divergence,0.003559065689766605,0.0035590656897665955,9.540979117872439e-18
85,merge,0.2,confidence_drop,0.010069817743102782,0.010069817743102782,0.0
85,merge,0.2,entropy_shift,0.028337486683893798,0.028337486683893798,0.0
85,pt_noise,0.03,delta_acc,0.0004866666666667463,0.0004866666666667463,0.0
85,pt_noise,0.03,class_js_divergence,2.4296670128792964e-08,2.4296670128792964e-08,0.0
85,pt_noise,0.03,confidence_drop,8.907286693660144e-05,8.907286693660144e-05,0.0
85,pt_noise,0.03,entropy_shift,0.00032076219019161467,0.00032076219019161467,0.0
85,pt_noise,0.06,delta_acc,0.0017333333333333645,0.0017333333333333645,0.0
85,pt_noise,0.06,class_js_divergence,1.3784428427669824e-07,1.3784428427669824e-07,0.0
85,pt_noise,0.06,confidence_drop,0.0004063944090406668,0.0004063944090406668,0.0
85,pt_noise,0.06,entropy_shift,0.0014128078060061666,0.0014128078060061666,0.0
