run_name,a_source,lambda_rrr,mask_frac,status,n_iterations_found,best_iteration,best_aspen_strong3_mean,best_test_auc_macro_ovr,best_test_acc,path
rrr_findanother_seed52_input_grad_lam1_mask0p05,input_grad,1.0,0.05,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam1_mask0p05
rrr_findanother_seed52_input_grad_lam1_mask0p10,input_grad,1.0,0.1,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam1_mask0p10
rrr_findanother_seed52_input_grad_lam1_mask0p20,input_grad,1.0,0.2,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam1_mask0p20
rrr_findanother_seed52_input_grad_lam1_mask0p30,input_grad,1.0,0.3,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam1_mask0p30
rrr_findanother_seed52_input_grad_lam10_mask0p05,input_grad,10.0,0.05,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam10_mask0p05
rrr_findanother_seed52_input_grad_lam10_mask0p10,input_grad,10.0,0.1,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam10_mask0p10
rrr_findanother_seed52_input_grad_lam10_mask0p20,input_grad,10.0,0.2,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam10_mask0p20
rrr_findanother_seed52_input_grad_lam10_mask0p30,input_grad,10.0,0.3,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam10_mask0p30
rrr_findanother_seed52_input_grad_lam100_mask0p05,input_grad,100.0,0.05,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam100_mask0p05
rrr_findanother_seed52_input_grad_lam100_mask0p10,input_grad,100.0,0.1,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam100_mask0p10
rrr_findanother_seed52_input_grad_lam100_mask0p20,input_grad,100.0,0.2,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam100_mask0p20
rrr_findanother_seed52_input_grad_lam100_mask0p30,input_grad,100.0,0.3,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam100_mask0p30
rrr_findanother_seed52_input_grad_lam1000_mask0p05,input_grad,1000.0,0.05,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam1000_mask0p05
rrr_findanother_seed52_input_grad_lam1000_mask0p10,input_grad,1000.0,0.1,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam1000_mask0p10
rrr_findanother_seed52_input_grad_lam1000_mask0p20,input_grad,1000.0,0.2,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam1000_mask0p20
rrr_findanother_seed52_input_grad_lam1000_mask0p30,input_grad,1000.0,0.3,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_input_grad_lam1000_mask0p30
rrr_findanother_seed52_integrated_gradients_lam1_mask0p05,integrated_gradients,1.0,0.05,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam1_mask0p05
rrr_findanother_seed52_integrated_gradients_lam1_mask0p10,integrated_gradients,1.0,0.1,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam1_mask0p10
rrr_findanother_seed52_integrated_gradients_lam1_mask0p20,integrated_gradients,1.0,0.2,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam1_mask0p20
rrr_findanother_seed52_integrated_gradients_lam1_mask0p30,integrated_gradients,1.0,0.3,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam1_mask0p30
rrr_findanother_seed52_integrated_gradients_lam10_mask0p05,integrated_gradients,10.0,0.05,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam10_mask0p05
rrr_findanother_seed52_integrated_gradients_lam10_mask0p10,integrated_gradients,10.0,0.1,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam10_mask0p10
rrr_findanother_seed52_integrated_gradients_lam10_mask0p20,integrated_gradients,10.0,0.2,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam10_mask0p20
rrr_findanother_seed52_integrated_gradients_lam10_mask0p30,integrated_gradients,10.0,0.3,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam10_mask0p30
rrr_findanother_seed52_integrated_gradients_lam100_mask0p05,integrated_gradients,100.0,0.05,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam100_mask0p05
rrr_findanother_seed52_integrated_gradients_lam100_mask0p10,integrated_gradients,100.0,0.1,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam100_mask0p10
rrr_findanother_seed52_integrated_gradients_lam100_mask0p20,integrated_gradients,100.0,0.2,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam100_mask0p20
rrr_findanother_seed52_integrated_gradients_lam100_mask0p30,integrated_gradients,100.0,0.3,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam100_mask0p30
rrr_findanother_seed52_integrated_gradients_lam1000_mask0p05,integrated_gradients,1000.0,0.05,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam1000_mask0p05
rrr_findanother_seed52_integrated_gradients_lam1000_mask0p10,integrated_gradients,1000.0,0.1,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam1000_mask0p10
rrr_findanother_seed52_integrated_gradients_lam1000_mask0p20,integrated_gradients,1000.0,0.2,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam1000_mask0p20
rrr_findanother_seed52_integrated_gradients_lam1000_mask0p30,integrated_gradients,1000.0,0.3,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_integrated_gradients_lam1000_mask0p30
rrr_findanother_seed52_smoothgrad_lam1_mask0p05,smoothgrad,1.0,0.05,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam1_mask0p05
rrr_findanother_seed52_smoothgrad_lam1_mask0p10,smoothgrad,1.0,0.1,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam1_mask0p10
rrr_findanother_seed52_smoothgrad_lam1_mask0p20,smoothgrad,1.0,0.2,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam1_mask0p20
rrr_findanother_seed52_smoothgrad_lam1_mask0p30,smoothgrad,1.0,0.3,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam1_mask0p30
rrr_findanother_seed52_smoothgrad_lam10_mask0p05,smoothgrad,10.0,0.05,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam10_mask0p05
rrr_findanother_seed52_smoothgrad_lam10_mask0p10,smoothgrad,10.0,0.1,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam10_mask0p10
rrr_findanother_seed52_smoothgrad_lam10_mask0p20,smoothgrad,10.0,0.2,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam10_mask0p20
rrr_findanother_seed52_smoothgrad_lam10_mask0p30,smoothgrad,10.0,0.3,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam10_mask0p30
rrr_findanother_seed52_smoothgrad_lam100_mask0p05,smoothgrad,100.0,0.05,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam100_mask0p05
rrr_findanother_seed52_smoothgrad_lam100_mask0p10,smoothgrad,100.0,0.1,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam100_mask0p10
rrr_findanother_seed52_smoothgrad_lam100_mask0p20,smoothgrad,100.0,0.2,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam100_mask0p20
rrr_findanother_seed52_smoothgrad_lam100_mask0p30,smoothgrad,100.0,0.3,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam100_mask0p30
rrr_findanother_seed52_smoothgrad_lam1000_mask0p05,smoothgrad,1000.0,0.05,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam1000_mask0p05
rrr_findanother_seed52_smoothgrad_lam1000_mask0p10,smoothgrad,1000.0,0.1,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam1000_mask0p10
rrr_findanother_seed52_smoothgrad_lam1000_mask0p20,smoothgrad,1000.0,0.2,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam1000_mask0p20
rrr_findanother_seed52_smoothgrad_lam1000_mask0p30,smoothgrad,1000.0,0.3,missing,0,,nan,nan,nan,/home/ryan/Documents/School/CompPhys/new_final_project/restart_studies/results/rrr_findanother_seed52_smoothgrad_lam1000_mask0p30
